name,rankingPosition,priceLevel,category,rating,address,Latitude,Longitude,numberOfReviews
France Soir,154,$$$$,restaurant,4,"11 Toorak Rd South Yarra, Melbourne, Victoria 3141 Australia",-37.8381816,144.9869535,654
Blondie Bar,155,$$ - $$$,restaurant,4,"Corner Sturt Street & Southbank Boulevard, Southbank Melbourne Recital Centre, Melbourne, Victoria 3006 Australia",-37.8238758,144.9676033,258
Ciao Cielo,159,$$ - $$$,restaurant,4.5,"115 Bay St, Melbourne, Victoria 3207 Australia",-37.840291,144.9403302,268
Madame Brussels,114,$$ - $$$,restaurant,4,"59-63 Bourke St Level 3, Above Spaghetti Tree Restaurant!, Melbourne, Victoria 3000 Australia",-37.8119715,144.9715104,461
Pure South Dining,177,$$$$,restaurant,4,"3 Southgate Ave Southbank, Melbourne, Victoria 3006 Australia",-37.820556,144.965833,927
Nobu Melbourne,178,$$$$,restaurant,4,"Crown Entertainment Complex 8 Whiteman St, Melbourne, Victoria 3006 Australia",-37.8235301,144.9580953,1462
Stalactites,149,$$ - $$$,restaurant,4,"177-183 Lonsdale St, Melbourne, Victoria 3000 Australia",-37.8111764,144.9670673,1473
St Ali Coffee Roasters,111,$$ - $$$,restaurant,4,"12-18 Yarra Pl, Melbourne, Victoria 3205 Australia",-37.8312737,144.9603327,632
Hofbrauhaus,126,$$ - $$$,restaurant,4,"18-26 Market Lane In the heart of Chinatown, Melbourne, Victoria 3000 Australia",-37.811775,144.9693901,475
The Lui Bar,113,$$$$,restaurant,4.5,"Rialto L 55 525 Collins St, Melbourne, Victoria 3000 Australia",-37.8182741,144.957646,463
Centonove,1,$$$$,restaurant,4.5,"109 Cotham Rd, Kew, Boroondara, Victoria 3101 Australia",-37.8075681,145.0387546,252
Axil Coffee Roasters,150,$$ - $$$,restaurant,4.5,"322 Burwood Rd Hawthorn Not Camberwell, Melbourne, Victoria 3122 Australia",-37.8228023,145.0342226,200
Claypots Seafood Bar,4,$$ - $$$,restaurant,4.5,"213 Barkly St, St Kilda, Port Phillip, Victoria 3182 Australia",-37.8699281,144.9804956,525
La Cucina Di Sandra,5,$$ - $$$,restaurant,5,"62 Lyndhurst St Warehouse 62, Richmond, Yarra, Victoria 3121 Australia",-37.8208416,144.9998269,73
Vaporetto Bar & Eatery,2,$$ - $$$,restaurant,4.5,"Rear 681 Glenferrie Rd Enter via Grace St, Hawthorn, Boroondara, Victoria 3122 Australia",-37.8204272,145.0355616,261
Box Seafood Restaurant,168,$$$$,restaurant,4,"189 Collins St, Melbourne, Victoria 3000 Australia",-37.8153416,144.9677447,416
Ombra Salumi Bar,158,$$ - $$$,restaurant,4.5,"76 Bourke St, Melbourne, Victoria 3000 Australia",-37.8117355,144.9709762,230
Brunetti Oro Flinders Lane,176,$$ - $$$,restaurant,4,"250 Flinders Ln, Melbourne, Victoria 3000 Australia",-37.8164259,144.9657009,332
The Kettle Black,140,$$ - $$$,restaurant,4,"50 Albert Rd, Melbourne, Victoria 3205 Australia",-37.8339749,144.9710507,450
The Vegie Bar,6,$$ - $$$,restaurant,4,"380 Brunswick St, Fitzroy, Yarra, Victoria 3065 Australia",-37.7958383,144.9791427,936
Fiorelli,1,$$ - $$$,restaurant,4.5,"209 Camberwell Road, Camberwell, Victoria 3124 Australia",-37.830406,145.05586,213
Galleon Cafe,5,$$ - $$$,restaurant,4.5,"9 Carlisle St, St Kilda, Port Phillip, Victoria 3182 Australia",-37.8670551,144.9790896,260
Estelle,1,$$$$,restaurant,4.5,"243 High St, Northcote, Victoria 3070 Australia",-37.7732119,144.9979146,395
Top Paddock,4,$$ - $$$,restaurant,4,"658 Church Street, Richmond, Yarra, Victoria Australia",-37.8330948,144.9962103,692
Jinda Thai,1,$$ - $$$,restaurant,4.5,"3-7 Ferguson St, Abbotsford, Yarra, Victoria 3067 Australia",-37.8092839,144.9923697,328
Byblos Bar & Restaurant,191,$$ - $$$,restaurant,4,"12 World Trade Centre, Melbourne, Victoria 3005 Australia",-37.8229849,144.9543437,314
Eureka 89,190,$$$$,restaurant,4.5,"7 Riverside Quay Level 89, Eureka Tower, Melbourne, Victoria 3006 Australia",-37.8213342,144.9646982,264
Hanoi Mee Kitchen & Bar,184,$$ - $$$,restaurant,4.5,"140 Rouse St Port Melbourne, Melbourne, Victoria 3207 Australia",-37.8420644,144.9398109,112
The Olive Tree,186,$$ - $$$,restaurant,4.5,"19 Park St, Melbourne, Victoria 3205 Australia",-37.8331008,144.9699897,180
Chuckle Park Bar,188,$$ - $$$,restaurant,4.5,"322 Little Collins St, Melbourne, Victoria 3000 Australia",-37.8149346,144.9640367,157
Gin Palace,156,$$ - $$$,restaurant,4.5,"10 Russell Pl, Melbourne, Victoria 3000 Australia",-37.8138343,144.9675091,274
Mahn Doo,169,$$ - $$$,restaurant,4.5,"365 La Trobe St, Melbourne, Victoria 3000 Australia",-37.8113767,144.9586343,119
